Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
Germany,Braunau-Simbach,50,48.0638,10.1284,Hydro
Germany,Breitungen Solar Power Plant,3.6,50.7789,10.3287,Solar
Germany,Brenz Solar Power Plant,7.5,53.3835,11.6402,Solar
Germany,Briest Solar Power Plant,91,52.4371,12.4529,Solar
Germany,Brimingen Solar Power Plant,1.9,49.97,6.3503,Solar
Germany,Brohltal Solar Power Plant,1.5,50.4265,7.2298,Solar
Germany,Busenwurth Solar Power Plant,12.2,54.0428,9.0315,Solar
Germany,Butendiek,288,55.019,7.774,Wind
Germany,BÃ¼rgerwindpark im Kirchspiel Medelby,82.23,54.7776,9.1334,Wind
Germany,Bï¿½ttel Solar Power Plant,31.5,53.9145,9.2263,Solar
Germany,Calbe 2 Solar Power Plant,4.3,51.9267,11.8042,Solar
Germany,Calvï¿½rde Solar Power Plant,1.3,52.3847,11.3071,Solar
Germany,Chamerau Solar Power Plant,1.3,49.2032,12.736,Solar
Germany,Cismar Solar Power Plant,2.8,54.1976,10.9522,Solar
Germany,Coburg Solar Power Plant,1.3,50.2133,11.066,Solar
Germany,Cottbus Solar Power Plant,3.7,51.7589,14.3668,Solar
Germany,Cottbus-Drewitz Solar Power Plant,29.5,51.8917,14.5305,Solar
Germany,Cronheim Solar Power Plant,2.2,49.0937,10.6776,Solar
Germany,Darast Nord Solar Power Plant,3.6,47.9185,10.2164,Solar
Germany,Dedelow Solar Power Plant,3.8,53.3562,13.786,Solar
Germany,Deesen Solar Power Plant,4.1,50.5153,7.6997,Solar
Germany,Deisenhofen Solar Power Plant,1.9,48.6221,10.5402,Solar
Germany,Delitzsch - Fabrikstraï¿½e Solar Power Plant,2.7,51.5165,12.3269,Solar
Germany,Delitzsch - Ziehwerk Solar Power Plant,1.8,51.5154,12.3528,Solar
Germany,Delitzsch Solar Power Plant,32.1,51.509,12.2893,Solar
Germany,Dessau,10.3,47.7393,10.8257,Hydro
Germany,Dettingen,11,48.5275,9.3488,Hydro
Germany,Detzem,24,49.8109,6.8439,Hydro
Germany,Dingolfing,15,48.634,12.4837,Hydro
Germany,Dinkelsbï¿½hl Solar Power Plant,2,49.0505,10.3073,Solar
Germany,Dittwar Solar Power Plant,1.8,49.5806,9.6518,Solar
Germany,Dornau,16.6,47.8002,10.9026,Hydro
Germany,Driedorf Solar Power Plant,5,50.6473,8.1834,Solar
Germany,Dï¿½bern Solar Power Plant,6.3,51.6126,14.6169,Solar
Germany,Dï¿½llstadt Solar Power Plant,6.1,49.7912,10.2599,Solar
Germany,Dï¿½lzig Solar Power Plant,3.9,51.3508,12.2001,Solar
Germany,Dï¿½rrrï¿½hrsdorf Solar Power Plant,1.9,51.0277,14.0108,Solar
Germany,ENERTRAG Netz GmbH (UW Bertikow),20,53.2656,13.95,Biomass
Germany,Ebern - TUP Solar Power Plant,7.1,50.0824,10.7686,Solar
Germany,Eckendorf Solar Power Plant,1.6,49.4455,12.2285,Solar
Germany,Ecklak Solar Power Plant,3.8,53.9246,9.274,Solar
Germany,Eckolstï¿½dt Solar Power Plant,8.5,51.0435,11.6283,Solar
Germany,Eggebek Solar Power Plant,83.2,54.6233,9.3457,Solar
Germany,Egger Kraftwerk Briilon 1,18,51.4067,8.6012,Biomass
Germany,Egglfing,40.4,48.3206,13.3161,Hydro
Germany,Eging am See Solar Power Plant,2.2,48.7159,13.2554,Solar
Germany,Egling Solar Power Plant,6.2,48.1828,11.0063,Solar
Germany,Eiche Solar Power Plant,26.5,52.5627,13.6031,Solar
Germany,Eisenach Solar Power Plant,3.3,51.0023,10.3254,Solar
Germany,Eitting,26,48.3586,11.8822,Hydro
Germany,Ellgau,9.7,48.5967,10.8789,Hydro
Germany,Ellhï¿½ft Solar Power Plant,2,54.8912,8.958,Solar
Germany,Ellighofen Solar Power Plant,3.5,48.0038,10.8571,Solar
Germany,Ellscheid Solar Power Plant,5,50.1551,6.9303,Solar
Germany,Elsterheide Solar Power Plant,20,51.4728,14.3054,Solar
Germany,Emden Biomasse,20,53.3422,7.2062,Biomass
Germany,Emlichheim Solar Power Plant,5,52.6223,6.8626,Solar
Germany,Energieanlage 3,18.6,53.149,12.3797,Biomass
Germany,Enkirch,18.4,49.9767,7.1278,Hydro
Germany,Ergoldsbach Solar Power Plant,5.1,48.6759,12.1962,Solar
Germany,Ering,36.5,48.2935,13.1585,Hydro
Germany,Erlasee Solar Power Plant,11.4,50.0029,9.9204,Solar
Germany,Ernsthof Solar Power Plant,34.4,49.7081,9.481,Solar
Germany,Erzhausen,220,51.8991,9.9245,Hydro
Germany,Espenhain Solar Power Plant,5,51.1966,12.4787,Solar
Germany,Ettling,12.6,48.6961,12.7978,Hydro
Germany,Faimingen,10.1,48.5584,10.4118,Hydro
Germany,Fankel,16.4,50.1239,7.2259,Hydro
Germany,Fattendorf Solar Power Plant,1.6,48.595,13.5719,Solar
Germany,Feldkirchen,38.2,47.9609,12.1561,Hydro
Germany,Finow Solar Power Plant,84.9,52.8224,13.7012,Solar
Germany,Forst Solar Power Plant,3.6,51.721,14.6298,Solar
Germany,Frauental Solar Power Plant,3.3,48.0058,10.2413,Solar
Germany,Freiberg Solar Power Plant,3,50.9085,13.3746,Solar
Germany,Freimersheim Solar Power Plant,7.3,49.7028,8.0716,Solar
Germany,Froschham Solar Power Plant,4.2,48.4765,11.0995,Solar
Germany,Fï¿½rstenwalde Solar Power Plant,39.6,52.3888,14.0955,Solar
Germany,Gahro Solar Power Plant,27.4,51.7306,13.6862,Solar
Germany,Gardelegen - S&Z Solar Power Plant,2.3,52.5307,11.4306,Solar
Germany,Gars,25,48.154,12.3111,Hydro
Germany,Geesthacht,119.1,53.426,10.3359,Hydro
Germany,Geisling,25,48.9748,12.344,Hydro
Germany,Gelbelsee Solar Power Plant,1.8,48.9435,11.4471,Solar
Germany,Gelchsheim Solar Power Plant,3.3,49.575,10.0001,Solar
Germany,Gelnhausen Solar Power Plant,1.4,50.2127,9.165,Solar
Germany,Georgsdorf Solar Power Plant,24.7,52.5909,7.084,Solar
Germany,Gergweis Solar Power Plant,1.7,48.6196,12.977,Solar
Germany,Gerstungen Solar Power Plant,3.8,50.9669,10.0631,Solar
Germany,Gerwisch Solar Power Plant,8.6,52.1841,11.7523,Solar
Germany,Geusa Solar Power Plant,5.9,51.3398,11.9631,Solar
Germany,Giebelstadt Solar Power Plant,28,49.6499,9.9653,Solar
Germany,Glau Solar Power Plant,8,52.2394,13.1449,Solar
Germany,Glebitzsch Solar Power Plant,3.9,51.5886,12.1924,Solar
Germany,Glesien Solar Power Plant,4.2,51.4452,12.2345,Solar
Germany,Global Tech I,400,54.509,6.367,Wind
Germany,Gnannenweiler Solar Power Plant,6.4,48.698,9.991,Solar
Germany,Gnoien Solar Power Plant,6.4,53.978,12.6925,Solar
Germany,Gode Wind 1 - Teil 1,263.1,54.041,6.994,Wind
Germany,Goldbach Solar Power Plant,2.8,49.999,9.2008,Solar
Germany,Goldisthal,1052,50.5098,11.0209,Hydro
Germany,Gollhofen Solar Power Plant,3,49.5756,10.1884,Solar
Germany,Goodyear - Philippsburg Solar Power Plant,7.4,49.225,8.4716,Solar
Germany,Gotha Solar Power Plant,11.8,50.9393,10.6677,Solar
Germany,Grabsleben Solar Power Plant,2.2,50.9393,10.8301,Solar
Germany,Greding Solar Power Plant,4.5,49.0897,11.328,Solar
Germany,Gribow Solar Power Plant,1,53.9597,13.4902,Solar
Germany,Groï¿½ Stieten Solar Power Plant,6.9,53.8064,11.4629,Solar
Germany,Groï¿½engottern Solar Power Plant,2.1,51.1407,10.5654,Solar
Germany,Grï¿½den Solar Power Plant,3.4,51.4044,13.5836,Solar
Germany,Grï¿½neberg Solar Power Plant,7.5,52.8643,13.2193,Solar
Germany,Gummering,14.8,48.6225,12.398,Hydro
Germany,Gundelfingen - Gartner Solar Power Plant,1,48.546,10.3783,Solar
Germany,Gundellfingen - Gehrlicher Solar Power Plant,2.7,48.5393,10.3557,Solar
Germany,Gï¿½rlitz Solar Power Plant,6,51.1853,14.9662,Solar
Germany,Gï¿½ttelborn Solar Power Plant,8.4,49.3386,7.035,Solar
Germany,Gï¿½ttersdorf Solar Power Plant,1.3,48.626,12.9651,Solar
Germany,HHKW Berlin-NeukÃ¶lln,16.5,52.4253,13.5173,Biomass
Germany,HKW Altenstadt,9.8,47.7971,10.8587,Biomass
Germany,Haag Solar Power Plant,5.5,49.6267,10.6237,Solar
Germany,Haidenaab Solar Power Plant,3.2,49.8838,11.8316,Solar
Germany,Halberstadt Solar Power Plant,3.8,51.897,11.0914,Solar
Germany,Harthausen Solar Power Plant,4.5,48.4406,10.3481,Solar
Germany,Hasselbach Solar Power Plant,1.9,50.0322,7.4374,Solar
Germany,Haï¿½loch Solar Power Plant,3.3,49.3644,8.2341,Solar
Germany,Heckfeld Solar Power Plant,1.9,49.5608,9.6203,Solar
Germany,Heimbach,16,50.6286,6.4518,Hydro
