Country,Powerplant Name,Capacity (MW),Latitude,Longitude,Primary Fuel
Germany,Biomass Generator #13,6.9,49.6552,8.3659,Waste
Germany,Biomass Generator #14,16,51.5439,7.4388,Other
Germany,Biomass Generator #15,28.4,49.5154,9.3252,Biomass
Germany,Biomass Generator #16,10.2,51.9201,11.8018,Biomass
Germany,Biomass Generator #17,40,51.5152,12.3248,Biomass
Germany,Biomass Generator #19,20,52.8515,13.7781,Biomass
Germany,Biomass Generator #2,15.7,48.6283,10.2008,Biomass
Germany,Biomass Generator #20,10.7,49.8587,7.8857,Gas
Germany,Biomass Generator #20,12.6,51.4662,13.5046,Biomass
Germany,Biomass Generator #21,18.3,52.1827,14.2584,Biomass
Germany,Biomass Generator #22,53.5,51.4901,10.4129,Biomass
Germany,Biomass Generator #23,11.4,51.8554,6.8887,Biomass
Germany,Biomass Generator #3,19.7,53.1511,12.3771,Biomass
Germany,Biomass Generator #4,19.9,51.8848,8.9567,Biomass
Germany,Biomass Generator #5,12.4,49.9713,8.0606,Biomass
Germany,Biomass Generator #6,9.6,48.4933,11.1766,Biomass
Germany,Biomass Generator #7,12.1,51.205,6.7085,Biomass
Germany,Biomass Generator #8,14,50.7021,8.0732,Biomass
Germany,Biomass Generator #9,18.8,49.0115,9.6718,Biomass
Germany,Biomasse-Heizkraftwerk Malchin,9.8,53.7419,12.783,Biomass
Germany,Biomasse-Verstromungs-Anlage,20,51.35,7.45,Biomass
Germany,Biomasseheizkraftwerk Piesteritz,18.1,51.8712,12.6185,Biomass
Germany,Biomasseheizkraftwerk Wiesbaden,10.5,50.0833,8.25,Waste
Germany,Biomassekraftwerk Bischofferode,18.1,51.4899,10.4131,Biomass
Germany,Birkig Solar Power Plant,1.2,50.2897,11.1191,Solar
Germany,Bischwind Solar Power Plant,1.7,50.1632,10.8031,Solar
Germany,Bittenbrunn,20.2,48.7345,11.1438,Hydro
Germany,Bitterfeld-Wolfen - GP Joule Solar Power Plant,3,51.6166,12.3076,Solar
Germany,Bitterfeld-Wolfen - Hinter dem Bahnhof Solar Power Plant,6,52.1123,13.0665,Solar
