Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,Beizhen Yangjiadian Wind,49,41.707,121.858,Wind
China,Bejing Southwest,1538,39.94,116.13,Gas
China,Bijie power station,300,27.2765,105.3479,Coal
China,Bikou,300,32.76,105.22,Hydro
China,Binhai Port Unit 1,2000,34.3071,120.2469,Coal
China,Binxian Dadingshan,49,45.8361,126.9278,Wind
China,Binzhou - Huji 1-4 Coal,1320,37.3495,117.7784,Coal
China,Binzhou Heating Supply Center power station,780,37.3482,117.8909,Coal
China,Black Point Power Station,2500,22.41,113.91,Gas
China,Bohe Coal,2000,22.9657,112.1079,Coal
China,Bole Cogen power station,300,44.8617,82.1179,Coal
China,Bulian power station,1320,39.3012,109.9682,Coal
China,CECEP Gansu Wuwei,20,38.11,102.27,Solar
China,CECEP Qinghai Dachaidan,20,37.18,95.309,Solar
China,CECIC Shizuishan Phase 1,10,39.34,106.74,Solar
China,CECIC Taiyangshan Phase 1,10,37.5,106.55,Solar
China,CEFR,20,39.74,116.03,Nuclear
China,CGN Aletai Ginghe Phase I,20,46.3,90.038,Solar
China,CGN Damao Bailingmiao,20,41.61,110.4,Solar
China,CGN Dunhuang,10,40.07,94.518,Solar
China,CGN Dunhuang Phase II,9,40.11,94.478,Solar
China,CGN Jinta Hongliuwa,9,39.96,98.993,Solar
China,CGN Kashi Yingjisha Phase I,20,38.95,75.796,Solar
China,CHALCO Shandong Branch Power Station,138,36.7484,118.0694,Coal
China,CKI Lamma power station,2500,22.2185,114.1082,Coal
China,CNPC Fushun Petrochemical power station,280,41.8275,124.0455,Coal
China,CPI Baicheng power station,1320,45.5261,122.7759,Coal
China,CPI Changshu-1 power station,3320,31.7563,120.9731,Coal
China,CPI Chifeng Daban power station,1200,43.5893,118.7119,Coal
China,CPI Chifeng New City Region power station,600,42.2934,118.9133,Coal
China,CPI Dabieshan power station,1200,31.1419,114.8922,Coal
China,CPI Fenyi power station,540,27.7754,114.6173,Coal
China,CPI Huolinhe power station,1200,45.4616,119.5386,Coal
China,CPI Nanyang power station,420,33.0306,112.5108,Coal
China,CPI Ningxia Zaoquan power station,1320,38.0462,106.6058,Coal
China,CPI Pingwei power station,4540,32.6842,116.9021,Coal
China,CPI Qinghe power station,1600,42.5299,124.1403,Coal
China,CPI Shanxi Houma power station,700,35.5911,111.3757,Coal
China,CPI Shentou power station,1320,39.5508,112.4887,Coal
China,CPI Wusu power station,600,44.4364,84.7608,Coal
China,CPI Xinchang power station,1400,28.8612,115.9764,Coal
China,CPI Xining power station,1320,36.5847,101.4936,Coal
China,CPI Zhongwei Cogen power station,700,37.623,105.235,Coal
China,CR Changzhou power station,1260,31.9576,119.9921,Coal
China,CR Liuzhi power station,1320,26.3883,105.395,Coal
China,CTGNE Golmud phase II,20,36.38,95.265,Solar
China,CTGNE Pishan Phase I,20,37.54,78.249,Solar
China,CTGNE Shanshan Phase I,20,42.97,89.999,Solar
China,Caishenliang Wind Inner Mongolia,49,40.795,112.725,Wind
China,Cangzhou Bohai power station,700,38.3617,117.6248,Coal
China,Cangzhou power station,660,38.3658,116.8168,Coal
China,Caoduozi,44.5,41.2,112.68,Wind
China,Caofeidian Works power station,600,38.9446,118.4927,Coal
China,Caojie On Jiangling River Chongqing City,500,29.9036,106.3901,Hydro
China,Caojing Gas,600,30.76,121.41,Gas
China,Castle Peak power station,4108,22.376,113.9214,Coal
China,Cecep Gansu Yumen Changma Daba South,48,40.0143,96.7164,Wind
China,Cecep Urumqi Tuoli200Mw Phase 2 Wind,49,43.5056,87.7011,Wind
China,Cecep Zhangbei Danjinghe Phase 2,49,41.2731,114.3392,Wind
China,Cecic Wuhan,2,30.608,114.419,Solar
China,Cecic Zhangbei Dayangzhuang,49,41.0722,114.334,Wind
China,Cgn Anqiu Chengdingshan,49,36.2257,118.9993,Wind
China,Cgn Beipiao Changgao Wind,48,41.85,121.04,Wind
China,Cgn Boshan Yueyangshan Wind,49,36.4554,117.95,Wind
China,Cgn Dalian Xizhongdao,48,39.4831,121.3332,Wind
China,Cgn Guangdong Duanfen Wind,47,21.89,112.582,Wind
China,Cgn Guangdong Guanghai Wind,39,22.023,112.763,Wind
China,Cgn Guangdong Wencun Wind,35,21.955,112.608,Wind
China,Cgn Inner Mongolia Wuliji Phase 2,49,41.505,106.593,Wind
China,Cgn Jilin Daan Laifu Phase 1,49,45.53,123.67,Wind
China,Cgn Liaoning Paoya Dabeishan Wind,49,39.56,121.62,Wind
China,Cgn Linkou Qingshan Wind,49,45.66,130.4033,Wind
China,Cgn Luoding Yapoji Wind,49,22.622,111.187,Wind
China,Cgn Menghai Padingliangzi,49,22.0294,100.1078,Wind
China,Cgn Mishan Linhe Wind,49,45.4306,131.9351,Wind
China,Cgn Ningan Laoyeling Wind,49,44.3,129.85,Wind
China,Cgn Shagou Phase 1 Wind,49,36.0858,118.5277,Wind
China,Cgn Tongyu Xinfa B,49,44.6689,122.3122,Wind
China,Cgn Xiangshan Tuci Wind,30,29.59,121.9758,Wind
China,Cgn Xinjiang Tacheng Mayitasi Phase 1,49,46.2467,84.0942,Wind
China,Cgn Xinxing Wind,47,22.379,111.96,Wind
China,Cgn Zhaoyuan Zhangxing Wind,49,37.2931,120.1808,Wind
China,Chahanwusu Dam,309,42.3311,85.5104,Hydro
China,Chaiwopu,82.8,43.59,87.798,Wind
China,Chalinhe,54,28.8703,109.6681,Hydro
China,Chalong Dam,10.8,31.453,92.3309,Hydro
China,Changbai County Baoquan Smallscale Hydro,8,41.5575,127.6378,Hydro
China,Changchun City Landfill Gas,3,43.862,125.477,Gas
China,Changchun Southeast power station,700,43.651,125.5693,Coal
China,Changchun-2 power station,1220,43.8835,125.3942,Coal
China,Changchun-3 power station,600,43.7778,125.1429,Coal
China,Changde Coal,1320,29.197,111.5607,Coal
China,Changji Coal,250,43.9914,87.3125,Coal
China,Changji Fukang power station,270,44.1419,88.017,Coal
China,Changjiang,1220,19.46,108.9,Nuclear
China,Changli Datan Wind,48,39.505,119.1797,Wind
China,Changling Wind,9,44.1622,123.5919,Wind
China,Changning Kawan Hydroelectric,18,25.316,99.133,Hydro
China,Changniping,20,27.123,109.503,Hydro
China,Changshatou,10,30.63,110.53,Hydro
China,Changshu Landfill,12,31.5936,120.6592,Gas
China,Changshu-2 power station,1950,31.7578,120.979,Coal
China,Changtanhe,80,29.4683,111.0192,Hydro
China,Changxing - Zheneng Gas,870,30.98,119.92,Gas
China,Changxing Island Hengli Petrochemical power station,720,39.5742,121.2547,Coal
China,Changzhi Tunliu power station,270,36.3653,112.8506,Coal
China,Changzhi power station,660,36.1926,113.0116,Coal
China,Changzhou,630,23.42,111.21,Hydro
China,Changzhou Zhongtian Iron & Steel power station,230,31.7078,120.0878,Coal
China,Chaoyang Yanshanhu power station,1200,41.5065,120.3194,Coal
China,Chaoyang Yongsheng County,3,26.4478,101.025,Hydro
China,Chaozhou Sanbaimen power station,3200,23.5655,117.0973,Coal
China,Chayouhouqi Hongmu Phase 1,20,41.15,113.15,Solar
China,Chayuan First Cascade Hydroelectric,15,28.6969,102.4475,Hydro
China,Cheliwusu,49,41.7366,114.0023,Wind
China,Chenergy Fangzheng County Hutieling Wind,49,45.8392,129.385,Wind
China,Chengbihe,30,23.95,106.64,Hydro
China,Chengbu County Laozhai,16,25.9917,110.2656,Hydro
China,Chengbu Miao Liuma Hydro,6,26.29,110.0231,Hydro
China,Chengdu Jiujiang Municipal Solid Waste Incineration,36,30.083,102.9,Gas
China,Chengdu Luodai,24,30.647,104.283,Gas
China,Chengdu Xiangfu Municipal Solid Waste Incineration,36,30.822,104.233,Gas
China,Chengfeng Cogen power station,150,36.4996,112.9666,Coal
China,Chengkou County Huangan River Lijiaba Hydroelectric,12,31.8272,109.0761,Hydro
China,Chengshan Sancun,48.75,36.96,122.07,Wind
China,Chengzigou Plant,115,33.1144,104.9364,Hydro
China,Chicheng Dananshan,49,40.9333,115.5625,Wind
China,Chifeng Ningcheng Dachengzi Wind,49,41.7242,118.665,Wind
China,Chifeng Ongniud Banner Wufendi Wind,49,43.2069,118.4275,Wind
China,Chifeng Songshanqu Sandaogou,49,42.5906,118.1705,Wind
China,Chifeng Yuanbaoshan power station,1800,42.3033,119.325,Coal
China,China Resources Caofeidian power station,600,38.9962,118.4877,Coal
China,China Resources Dengkou power station,660,40.3838,107.004,Coal
China,China Resources Gucheng power station,640,32.872,114.0436,Coal
