Country,Powerplant_Name,Capacity,Latitude,Longitude,Primary_Fuel
China,Cgn Zhaoyuan Zhangxing Wind,49,37.2931,120.1808,Wind
China,Chahanwusu Dam,309,42.3311,85.5104,Hydro
China,Chaiwopu,82.8,43.59,87.798,Wind
China,Chalinhe,54,28.8703,109.6681,Hydro
China,Chalong Dam,10.8,31.453,92.3309,Hydro
China,Changbai County Baoquan Smallscale Hydro,8,41.5575,127.6378,Hydro
China,Changli Datan Wind,48,39.505,119.1797,Wind
China,Changling Wind,9,44.1622,123.5919,Wind
China,Changning Kawan Hydroelectric,18,25.316,99.133,Hydro
China,Changniping,20,27.123,109.503,Hydro
China,Changshatou,10,30.63,110.53,Hydro
China,Changtanhe,80,29.4683,111.0192,Hydro
China,Changzhou,630,23.42,111.21,Hydro
China,Chaoyang Yongsheng County,3,26.4478,101.025,Hydro
China,Chayouhouqi Hongmu Phase 1,20,41.15,113.15,Solar
China,Chayuan First Cascade Hydroelectric,15,28.6969,102.4475,Hydro
China,Cheliwusu,49,41.7366,114.0023,Wind
China,Chenergy Fangzheng County Hutieling Wind,49,45.8392,129.385,Wind
China,Chengbihe,30,23.95,106.64,Hydro
China,Chengbu County Laozhai,16,25.9917,110.2656,Hydro
China,Chengbu Miao Liuma Hydro,6,26.29,110.0231,Hydro
China,Chengkou County Huangan River Lijiaba Hydroelectric,12,31.8272,109.0761,Hydro
China,Chengshan Sancun,48.75,36.96,122.07,Wind
China,Chengzigou Plant,115,33.1144,104.9364,Hydro
China,Chicheng Dananshan,49,40.9333,115.5625,Wind
China,Chifeng Ningcheng Dachengzi Wind,49,41.7242,118.665,Wind
China,Chifeng Ongniud Banner Wufendi Wind,49,43.2069,118.4275,Wind
China,Chifeng Songshanqu Sandaogou,49,42.5906,118.1705,Wind
China,Chint Qinghai Golmud,20,36.39,95.193,Solar
China,Chitan,400,26.71,117.12,Hydro
China,Chonghu'er,110,48.18,87.152,Hydro
China,Chongqing Chengkou Baiguoping,10,32.1136,108.4286,Hydro
China,Chongqing Chengkou County Jianjiawan,26,32.0149,108.6097,Hydro
China,Chongqing Jinjiaba Hydroelectric,75,28.37,108.41,Hydro
China,Chongqing Liujiagou Hydro,20,31.4047,109.5194,Hydro
China,Chongqing Longshui Hydro,8,31.5375,108.8703,Hydro
China,Chongqing Qijiang Zhutan,8,28.9239,106.6833,Hydro
China,Chongqing Shizhu County Yangdong River (Dukou),48,30.2686,110.6072,Hydro
China,Chongqing Wanzhou Xiangjiazui,12,30.7544,108.7092,Hydro
China,Chongqing Wulong Quantang,6,29.4908,107.7335,Hydro
China,Chongqing Wuxi Yushan Hydro,4,31.4383,109.8306,Hydro
China,Chongqing Youyang County Youchou,120,28.967,109.148,Hydro
China,Chuanjiang,98.8,41.97,108.3,Wind
China,Chuanjing Inner Mongolia Luneng Phase 2,49,41.9878,107.9239,Wind
